feature,slice,precision,recall,fbeta
race, Other,0.7142857142857143,0.7142857142857143,0.7142857142857143
race, Asian-Pac-Islander,0.782608695652174,0.7346938775510204,0.7578947368421053
race, Black,0.765625,0.5384615384615384,0.632258064516129
race, Amer-Indian-Eskimo,0.5,0.4444444444444444,0.47058823529411764
sex, Male,0.7006145741878841,0.6147919876733436,0.6549035699630693
sex, Female,0.7589743589743589,0.6016260162601627,0.671201814058957
native-country, United-States,0.7068825910931175,0.608786610878661,0.6541775946047209
native-country, ?,0.7931034482758621,0.8518518518518519,0.8214285714285714
native-country, Cuba,1.0,0.0,0.0
native-country, Philippines,1.0,0.6153846153846154,0.7619047619047619
native-country, China,0.6666666666666666,1.0,0.8
native-country, Haiti,1.0,0.0,0.0
native-country, Mexico,0.6,0.6,0.6
native-country, Columbia,1.0,1.0,1.0
native-country, Guatemala,1.0,0.0,0.0
native-country, Portugal,1.0,1.0,1.0
native-country, Peru,1.0,1.0,1.0
native-country, Canada,0.8,0.5714285714285714,0.6666666666666666
native-country, Japan,0.42857142857142855,1.0,0.6
native-country, Dominican-Republic,1.0,1.0,1.0
native-country, Vietnam,1.0,0.0,0.0
native-country, Jamaica,0.5,0.3333333333333333,0.4
native-country, Ecuador,0.5,1.0,0.6666666666666666
native-country, India,1.0,0.75,0.8571428571428571
native-country, Iran,1.0,0.6666666666666666,0.8
native-country, South,0.75,0.75,0.75
native-country, Puerto-Rico,0.5,1.0,0.6666666666666666
native-country, Italy,1.0,0.6,0.75
native-country, Germany,0.4,0.4,0.4
native-country, Nicaragua,1.0,0.0,0.0
native-country, Thailand,1.0,0.0,0.0
native-country, Poland,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country, England,0.3333333333333333,0.5,0.4
native-country, Greece,1.0,1.0,1.0
native-country, Laos,1.0,1.0,1.0
native-country, Trinadad&Tobago,1.0,1.0,1.0
native-country, Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country, El-Salvador,1.0,1.0,1.0
native-country, Scotland,1.0,1.0,1.0
native-country, France,0.5,0.5,0.5
native-country, Honduras,1.0,1.0,1.0
native-country, Hungary,1.0,1.0,1.0
native-country, Taiwan,1.0,1.0,1.0
native-country, Hong,1.0,1.0,1.0
native-country, Ireland,1.0,1.0,1.0
native-country, Cambodia,1.0,1.0,1.0
native-country, Yugoslavia,1.0,0.0,0.0
